archetype_a,archetype_b,wins,losses,total_matches,winrate,ci_lower,ci_upper
Bant Ramp,Jund Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Bant Ramp,Mono Red Aggro,3,5,8,0.375,0.13684428582359742,0.6942576053973727
Bant Ramp,Naya Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Bant Ramp,Orzhov Deck,0,5,5,0.0,0.0,0.43448246478317476
Bant Ramp,Other,2,6,8,0.25,0.071479212752109,0.5907245696898311
Bant Ramp,Rakdos Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Bant Ramp,Selesnya Deck,4,4,8,0.5,0.21521606221387757,0.7847839377861224
Bant Ramp,Storm,3,5,8,0.375,0.13684428582359742,0.6942576053973727
Bant Ramp,Sultai Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Boros Deck,Abzan Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Boros Deck,Azorius Deck,3,4,7,0.42857142857142855,0.15821985525146975,0.7495416354723428
Boros Deck,Bant Ramp,2,5,7,0.2857142857142857,0.08221892400405678,0.6410655481673808
Boros Deck,Burn,2,3,5,0.4,0.11762077423264783,0.769275718723987
Boros Deck,Dimir Control,2,3,5,0.4,0.11762077423264783,0.769275718723987
Boros Deck,Dimir Deck,5,2,7,0.7142857142857143,0.35893445183261935,0.9177810759959433
Boros Deck,Golgari Deck,2,4,6,0.3333333333333333,0.09677141110578041,0.700006684861608
Boros Deck,Gruul Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Boros Deck,Izzet Deck,4,3,7,0.5714285714285714,0.2504583645276572,0.8417801447485302
Boros Deck,Jeskai Deck,6,1,7,0.8571428571428571,0.4868721707256811,0.9743203756552565
Boros Deck,Jund Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Boros Deck,Mono Red Aggro,3,4,7,0.42857142857142855,0.15821985525146975,0.7495416354723428
Boros Deck,Naya Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Boros Deck,Orzhov Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Boros Deck,Other,4,3,7,0.5714285714285714,0.2504583645276572,0.8417801447485302
Boros Deck,Rakdos Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Boros Deck,Selesnya Deck,6,1,7,0.8571428571428571,0.4868721707256811,0.9743203756552565
Boros Deck,Storm,1,6,7,0.14285714285714285,0.02567962434474355,0.5131278292743189
Boros Deck,Sultai Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Burn,Abzan Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Burn,Azorius Deck,5,0,5,1.0,0.5655175352168251,1.0
Burn,Bant Ramp,3,2,5,0.6,0.2307242812760128,0.882379225767352
Burn,Boros Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Burn,Dimir Control,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Burn,Dimir Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Burn,Golgari Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Burn,Gruul Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Burn,Izzet Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Burn,Jeskai Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Burn,Jund Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Burn,Mono Red Aggro,3,2,5,0.6,0.2307242812760128,0.882379225767352
Burn,Naya Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Burn,Orzhov Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Burn,Other,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Burn,Rakdos Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Burn,Selesnya Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Burn,Storm,3,2,5,0.6,0.2307242812760128,0.882379225767352
Burn,Sultai Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Dimir Control,Abzan Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Dimir Control,Azorius Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Dimir Control,Bant Ramp,3,2,5,0.6,0.2307242812760128,0.882379225767352
Dimir Control,Boros Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Dimir Control,Burn,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Dimir Control,Dimir Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Dimir Control,Golgari Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Dimir Control,Gruul Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Dimir Control,Izzet Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Dimir Control,Jeskai Deck,0,5,5,0.0,0.0,0.43448246478317476
Dimir Control,Jund Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Dimir Control,Mono Red Aggro,3,2,5,0.6,0.2307242812760128,0.882379225767352
Dimir Control,Naya Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Dimir Control,Orzhov Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Dimir Control,Other,5,0,5,1.0,0.5655175352168251,1.0
Dimir Control,Rakdos Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Dimir Control,Selesnya Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Dimir Control,Storm,3,2,5,0.6,0.2307242812760128,0.882379225767352
Dimir Control,Sultai Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Dimir Deck,Abzan Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Dimir Deck,Azorius Deck,5,8,13,0.38461538461538464,0.17709707797762575,0.6447710848733431
Dimir Deck,Bant Ramp,1,7,8,0.125,0.02241749145005667,0.4708881822128535
Dimir Deck,Boros Deck,2,5,7,0.2857142857142857,0.08221892400405678,0.6410655481673808
Dimir Deck,Burn,0,5,5,0.0,0.0,0.43448246478317476
Dimir Deck,Dimir Control,3,2,5,0.6,0.2307242812760128,0.882379225767352
Dimir Deck,Golgari Deck,1,5,6,0.16666666666666666,0.030053369748306635,0.5635028221864702
Dimir Deck,Gruul Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Dimir Deck,Izzet Deck,7,13,20,0.35,0.18119182410108206,0.5671457233147638
Dimir Deck,Jeskai Deck,4,3,7,0.5714285714285714,0.2504583645276572,0.8417801447485302
Dimir Deck,Jund Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Dimir Deck,Mono Red Aggro,24,26,50,0.48,0.34797135286578046,0.6148825510995539
Dimir Deck,Naya Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Dimir Deck,Orzhov Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Dimir Deck,Other,8,6,14,0.5714285714285714,0.3259064457965074,0.7861920109552588
Dimir Deck,Rakdos Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Dimir Deck,Selesnya Deck,6,2,8,0.75,0.40927543031016883,0.9285207872478909
Dimir Deck,Storm,24,26,50,0.48,0.34797135286578046,0.6148825510995539
Dimir Deck,Sultai Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Golgari Deck,Abzan Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Golgari Deck,Azorius Deck,2,4,6,0.3333333333333333,0.09677141110578041,0.700006684861608
Golgari Deck,Bant Ramp,1,5,6,0.16666666666666666,0.030053369748306635,0.5635028221864702
Golgari Deck,Boros Deck,3,3,6,0.5,0.1876163064826506,0.8123836935173494
Golgari Deck,Burn,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Golgari Deck,Dimir Control,2,3,5,0.4,0.11762077423264783,0.769275718723987
Golgari Deck,Dimir Deck,3,3,6,0.5,0.1876163064826506,0.8123836935173494
Golgari Deck,Gruul Deck,0,5,5,0.0,0.0,0.43448246478317476
Golgari Deck,Izzet Deck,1,5,6,0.16666666666666666,0.030053369748306635,0.5635028221864702
Golgari Deck,Jeskai Deck,2,4,6,0.3333333333333333,0.09677141110578041,0.700006684861608
Golgari Deck,Jund Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Golgari Deck,Mono Red Aggro,4,2,6,0.6666666666666666,0.299993315138392,0.9032285888942195
Golgari Deck,Naya Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Golgari Deck,Orzhov Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Golgari Deck,Other,2,4,6,0.3333333333333333,0.09677141110578041,0.700006684861608
Golgari Deck,Rakdos Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Golgari Deck,Selesnya Deck,4,2,6,0.6666666666666666,0.299993315138392,0.9032285888942195
Golgari Deck,Storm,4,2,6,0.6666666666666666,0.299993315138392,0.9032285888942195
Golgari Deck,Sultai Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Gruul Deck,Abzan Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Gruul Deck,Azorius Deck,5,0,5,1.0,0.5655175352168251,1.0
Gruul Deck,Bant Ramp,5,0,5,1.0,0.5655175352168251,1.0
Gruul Deck,Boros Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Gruul Deck,Burn,3,2,5,0.6,0.2307242812760128,0.882379225767352
Gruul Deck,Dimir Control,3,2,5,0.6,0.2307242812760128,0.882379225767352
Gruul Deck,Dimir Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Gruul Deck,Golgari Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Gruul Deck,Izzet Deck,5,0,5,1.0,0.5655175352168251,1.0
Gruul Deck,Jeskai Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Gruul Deck,Jund Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Gruul Deck,Mono Red Aggro,5,0,5,1.0,0.5655175352168251,1.0
Gruul Deck,Naya Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Gruul Deck,Orzhov Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Gruul Deck,Other,3,2,5,0.6,0.2307242812760128,0.882379225767352
Gruul Deck,Rakdos Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Gruul Deck,Selesnya Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Gruul Deck,Storm,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Gruul Deck,Sultai Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Izzet Deck,Abzan Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Izzet Deck,Azorius Deck,5,8,13,0.38461538461538464,0.17709707797762575,0.6447710848733431
Izzet Deck,Bant Ramp,6,2,8,0.75,0.40927543031016883,0.9285207872478909
Izzet Deck,Boros Deck,3,4,7,0.42857142857142855,0.15821985525146975,0.7495416354723428
Izzet Deck,Burn,2,3,5,0.4,0.11762077423264783,0.769275718723987
Izzet Deck,Dimir Control,5,0,5,1.0,0.5655175352168251,1.0
Izzet Deck,Dimir Deck,12,8,20,0.6,0.3865815007622531,0.781193467627183
Izzet Deck,Golgari Deck,4,2,6,0.6666666666666666,0.299993315138392,0.9032285888942195
Izzet Deck,Gruul Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Izzet Deck,Jeskai Deck,4,3,7,0.5714285714285714,0.2504583645276572,0.8417801447485302
Izzet Deck,Jund Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Izzet Deck,Mono Red Aggro,10,10,20,0.5,0.2992980081982123,0.7007019918017877
Izzet Deck,Naya Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Izzet Deck,Orzhov Deck,5,0,5,1.0,0.5655175352168251,1.0
Izzet Deck,Other,9,5,14,0.6428571428571429,0.38764423103907397,0.8365526824644587
Izzet Deck,Rakdos Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Izzet Deck,Selesnya Deck,4,4,8,0.5,0.21521606221387757,0.7847839377861224
Izzet Deck,Storm,10,10,20,0.5,0.2992980081982123,0.7007019918017877
Izzet Deck,Sultai Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Jeskai Deck,Abzan Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Jeskai Deck,Azorius Deck,5,2,7,0.7142857142857143,0.35893445183261935,0.9177810759959433
Jeskai Deck,Bant Ramp,5,2,7,0.7142857142857143,0.35893445183261935,0.9177810759959433
Jeskai Deck,Boros Deck,4,3,7,0.5714285714285714,0.2504583645276572,0.8417801447485302
Jeskai Deck,Burn,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Jeskai Deck,Dimir Control,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Jeskai Deck,Dimir Deck,1,6,7,0.14285714285714285,0.02567962434474355,0.5131278292743189
Jeskai Deck,Golgari Deck,3,3,6,0.5,0.1876163064826506,0.8123836935173494
Jeskai Deck,Gruul Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Jeskai Deck,Izzet Deck,2,5,7,0.2857142857142857,0.08221892400405678,0.6410655481673808
Jeskai Deck,Jund Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Jeskai Deck,Mono Red Aggro,1,6,7,0.14285714285714285,0.02567962434474355,0.5131278292743189
Jeskai Deck,Naya Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Jeskai Deck,Orzhov Deck,5,0,5,1.0,0.5655175352168251,1.0
Jeskai Deck,Other,4,3,7,0.5714285714285714,0.2504583645276572,0.8417801447485302
Jeskai Deck,Rakdos Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Jeskai Deck,Selesnya Deck,5,2,7,0.7142857142857143,0.35893445183261935,0.9177810759959433
Jeskai Deck,Storm,3,4,7,0.42857142857142855,0.15821985525146975,0.7495416354723428
Jeskai Deck,Sultai Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Jund Deck,Abzan Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Jund Deck,Azorius Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Jund Deck,Bant Ramp,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Jund Deck,Boros Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Jund Deck,Burn,2,3,5,0.4,0.11762077423264783,0.769275718723987
Jund Deck,Dimir Control,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Jund Deck,Dimir Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Jund Deck,Golgari Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Jund Deck,Gruul Deck,0,5,5,0.0,0.0,0.43448246478317476
Jund Deck,Izzet Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Jund Deck,Jeskai Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Jund Deck,Mono Red Aggro,3,2,5,0.6,0.2307242812760128,0.882379225767352
Jund Deck,Naya Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Jund Deck,Orzhov Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Jund Deck,Other,5,0,5,1.0,0.5655175352168251,1.0
Jund Deck,Rakdos Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Jund Deck,Selesnya Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Jund Deck,Storm,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Jund Deck,Sultai Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Mono Red Aggro,Abzan Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Mono Red Aggro,Azorius Deck,8,5,13,0.6153846153846154,0.355228915126657,0.8229029220223743
Mono Red Aggro,Bant Ramp,5,3,8,0.625,0.30574239460262737,0.8631557141764026
Mono Red Aggro,Boros Deck,4,3,7,0.5714285714285714,0.2504583645276572,0.8417801447485302
Mono Red Aggro,Burn,2,3,5,0.4,0.11762077423264783,0.769275718723987
Mono Red Aggro,Dimir Control,2,3,5,0.4,0.11762077423264783,0.769275718723987
Mono Red Aggro,Dimir Deck,29,21,50,0.58,0.4423344176857823,0.7062499664528802
Mono Red Aggro,Golgari Deck,3,3,6,0.5,0.1876163064826506,0.8123836935173494
Mono Red Aggro,Gruul Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Mono Red Aggro,Izzet Deck,14,6,20,0.7,0.4810271816464765,0.8545227551323956
Mono Red Aggro,Jeskai Deck,3,4,7,0.42857142857142855,0.15821985525146975,0.7495416354723428
Mono Red Aggro,Jund Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Mono Red Aggro,Naya Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Mono Red Aggro,Orzhov Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Mono Red Aggro,Other,7,7,14,0.5,0.26799202452413634,0.7320079754758637
Mono Red Aggro,Rakdos Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Mono Red Aggro,Selesnya Deck,5,3,8,0.625,0.30574239460262737,0.8631557141764026
Mono Red Aggro,Storm,28,22,50,0.56,0.4230602802165686,0.6883780078874284
Mono Red Aggro,Sultai Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Naya Deck,Abzan Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Naya Deck,Azorius Deck,0,5,5,0.0,0.0,0.43448246478317476
Naya Deck,Bant Ramp,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Naya Deck,Boros Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Naya Deck,Burn,2,3,5,0.4,0.11762077423264783,0.769275718723987
Naya Deck,Dimir Control,3,2,5,0.6,0.2307242812760128,0.882379225767352
Naya Deck,Dimir Deck,0,5,5,0.0,0.0,0.43448246478317476
Naya Deck,Golgari Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Naya Deck,Gruul Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Naya Deck,Izzet Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Naya Deck,Jeskai Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Naya Deck,Jund Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Naya Deck,Mono Red Aggro,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Naya Deck,Orzhov Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Naya Deck,Other,0,5,5,0.0,0.0,0.43448246478317476
Naya Deck,Rakdos Deck,0,5,5,0.0,0.0,0.43448246478317476
Naya Deck,Selesnya Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Naya Deck,Storm,3,2,5,0.6,0.2307242812760128,0.882379225767352
Naya Deck,Sultai Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Orzhov Deck,Abzan Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Orzhov Deck,Azorius Deck,0,5,5,0.0,0.0,0.43448246478317476
Orzhov Deck,Bant Ramp,2,3,5,0.4,0.11762077423264783,0.769275718723987
Orzhov Deck,Boros Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Orzhov Deck,Burn,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Orzhov Deck,Dimir Control,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Orzhov Deck,Dimir Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Orzhov Deck,Golgari Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Orzhov Deck,Gruul Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Orzhov Deck,Izzet Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Orzhov Deck,Jeskai Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Orzhov Deck,Jund Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Orzhov Deck,Mono Red Aggro,3,2,5,0.6,0.2307242812760128,0.882379225767352
Orzhov Deck,Naya Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Orzhov Deck,Other,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Orzhov Deck,Rakdos Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Orzhov Deck,Selesnya Deck,0,5,5,0.0,0.0,0.43448246478317476
Orzhov Deck,Storm,3,2,5,0.6,0.2307242812760128,0.882379225767352
Orzhov Deck,Sultai Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Other,Abzan Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Other,Azorius Deck,8,5,13,0.6153846153846154,0.355228915126657,0.8229029220223743
Other,Bant Ramp,2,6,8,0.25,0.071479212752109,0.5907245696898311
Other,Boros Deck,2,5,7,0.2857142857142857,0.08221892400405678,0.6410655481673808
Other,Burn,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Other,Dimir Control,3,2,5,0.6,0.2307242812760128,0.882379225767352
Other,Dimir Deck,5,9,14,0.35714285714285715,0.1634473175355414,0.612355768960926
Other,Golgari Deck,4,2,6,0.6666666666666666,0.299993315138392,0.9032285888942195
Other,Gruul Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Other,Izzet Deck,6,8,14,0.42857142857142855,0.21380798904474121,0.6740935542034926
Other,Jeskai Deck,6,1,7,0.8571428571428571,0.4868721707256811,0.9743203756552565
Other,Jund Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Other,Mono Red Aggro,6,8,14,0.42857142857142855,0.21380798904474121,0.6740935542034926
Other,Naya Deck,5,0,5,1.0,0.5655175352168251,1.0
Other,Orzhov Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Other,Rakdos Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Other,Selesnya Deck,3,5,8,0.375,0.13684428582359742,0.6942576053973727
Other,Storm,7,7,14,0.5,0.26799202452413634,0.7320079754758637
Other,Sultai Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Rakdos Deck,Abzan Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Rakdos Deck,Azorius Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Rakdos Deck,Bant Ramp,3,2,5,0.6,0.2307242812760128,0.882379225767352
Rakdos Deck,Boros Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Rakdos Deck,Burn,3,2,5,0.6,0.2307242812760128,0.882379225767352
Rakdos Deck,Dimir Control,2,3,5,0.4,0.11762077423264783,0.769275718723987
Rakdos Deck,Dimir Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Rakdos Deck,Golgari Deck,5,0,5,1.0,0.5655175352168251,1.0
Rakdos Deck,Gruul Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Rakdos Deck,Izzet Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Rakdos Deck,Jeskai Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Rakdos Deck,Jund Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Rakdos Deck,Mono Red Aggro,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Rakdos Deck,Naya Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Rakdos Deck,Orzhov Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Rakdos Deck,Other,3,2,5,0.6,0.2307242812760128,0.882379225767352
Rakdos Deck,Selesnya Deck,0,5,5,0.0,0.0,0.43448246478317476
Rakdos Deck,Storm,3,2,5,0.6,0.2307242812760128,0.882379225767352
Rakdos Deck,Sultai Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Selesnya Deck,Abzan Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
